"";"Store";"StoreType";"Assortment";"CompetitionDistance";"CompetitionOpenSinceMonth";"CompetitionOpenSinceYear";"Promo2";"Promo2SinceWeek";"Promo2SinceYear";"PromoInterval";"CompetitionOpenSince";"States"
"139";139;"a";"a";1700;1;2008;1;14;2011;"Jan,Apr,Jul,Oct";Jan 2008;"BY"
"140";140;"a";"c";1090;7;2010;1;1;2013;"Jan,Apr,Jul,Oct";Jul 2010;"HE"
"141";141;"c";"c";1540;NA;NA;1;22;2012;"Mar,Jun,Sept,Dec";NA;"BW"
"142";142;"a";"a";1090;7;2002;0;NA;NA;"";Jul 2002;"NW"
"143";143;"d";"a";2930;12;2002;0;NA;NA;"";Dec 2002;"RP"
"144";144;"a";"c";16570;NA;NA;0;NA;NA;"";NA;"BY"
"145";145;"a";"a";280;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BY"
"146";146;"d";"c";8050;10;1961;1;48;2012;"Jan,Apr,Jul,Oct";Oct 1961;"NW"
"147";147;"d";"c";8540;NA;NA;0;NA;NA;"";NA;"NW"
"148";148;"a";"a";2090;12;2008;0;NA;NA;"";Dec 2008;"HB, NI"
"149";149;"d";"a";2610;7;2006;1;14;2011;"Jan,Apr,Jul,Oct";Jul 2006;"BY"
"150";150;"c";"c";31830;3;2010;0;NA;NA;"";Mar 2010;"SH"
"151";151;"d";"c";4360;10;2005;0;NA;NA;"";Oct 2005;"ST"
"152";152;"a";"a";1780;NA;NA;0;NA;NA;"";NA;"NW"
"153";153;"a";"a";16240;10;2000;1;18;2011;"Feb,May,Aug,Nov";Oct 2000;"NW"
"154";154;"d";"c";16420;NA;NA;0;NA;NA;"";NA;"HE"
"155";155;"d";"a";3050;NA;NA;1;35;2010;"Jan,Apr,Jul,Oct";NA;"BY"
"156";156;"a";"a";2020;2;2011;1;14;2011;"Mar,Jun,Sept,Dec";Feb 2011;"TH"
"157";157;"a";"c";2950;10;2004;0;NA;NA;"";Oct 2004;"NW"
"158";158;"d";"c";11840;NA;NA;1;31;2009;"Feb,May,Aug,Nov";NA;"RP"
"159";159;"d";"a";8530;3;2013;0;NA;NA;"";Mar 2013;"BY"
"160";160;"d";"c";17110;11;2005;0;NA;NA;"";Nov 2005;"HE"
"161";161;"a";"c";2970;3;2005;0;NA;NA;"";Mar 2005;"NW"
"162";162;"d";"c";5340;3;2012;1;13;2010;"Jan,Apr,Jul,Oct";Mar 2012;"HE"
"163";163;"a";"a";1480;4;2009;0;NA;NA;"";Apr 2009;"HB, NI"
"164";164;"a";"a";1160;9;2005;1;13;2010;"Jan,Apr,Jul,Oct";Sep 2005;"BY"
"165";165;"a";"a";3720;4;2005;1;13;2010;"Jan,Apr,Jul,Oct";Apr 2005;"BY"
"166";166;"a";"c";100;4;2014;1;31;2013;"Jan,Apr,Jul,Oct";Apr 2014;"NW"
"167";167;"a";"a";140;4;2008;0;NA;NA;"";Apr 2008;"ST"
"168";168;"a";"a";12540;NA;NA;0;NA;NA;"";NA;"BW"
"169";169;"d";"a";980;7;2014;1;18;2014;"Feb,May,Aug,Nov";Jul 2014;"NW"
"170";170;"a";"a";1070;NA;NA;1;14;2011;"Jan,Apr,Jul,Oct";NA;"NW"
"171";171;"a";"a";2640;NA;NA;0;NA;NA;"";NA;"NW"
"172";172;"a";"a";110;NA;NA;1;40;2014;"Jan,Apr,Jul,Oct";NA;"BY"
"173";173;"a";"a";350;12;2012;0;NA;NA;"";Dec 2012;"HB, NI"
"174";174;"a";"a";13090;NA;NA;1;22;2012;"Jan,Apr,Jul,Oct";NA;"BY"
"175";175;"c";"a";4130;NA;NA;0;NA;NA;"";NA;"HH"
"176";176;"a";"a";3770;NA;NA;0;NA;NA;"";NA;"NW"
"177";177;"a";"a";1250;2;2004;1;5;2013;"Feb,May,Aug,Nov";Feb 2004;"ST"
"178";178;"d";"a";1710;NA;NA;0;NA;NA;"";NA;"SN"
"179";179;"a";"c";480;NA;NA;0;NA;NA;"";NA;"NW"
"180";180;"d";"a";5800;9;2010;0;NA;NA;"";Sep 2010;"HH"
"181";181;"a";"a";12610;3;2013;1;14;2011;"Jan,Apr,Jul,Oct";Mar 2013;"BY"
"182";182;"d";"c";1390;NA;NA;1;9;2011;"Mar,Jun,Sept,Dec";NA;"HE"
"183";183;"a";"a";9670;NA;NA;0;NA;NA;"";NA;"BY"
"184";184;"d";"c";3560;NA;NA;0;NA;NA;"";NA;"NW"
"185";185;"d";"c";1860;NA;NA;0;NA;NA;"";NA;"HB, NI"
"186";186;"a";"a";290;10;2011;1;40;2014;"Jan,Apr,Jul,Oct";Oct 2011;"BY"
"187";187;"a";"c";19360;NA;NA;0;NA;NA;"";NA;"SH"
"188";188;"d";"a";850;NA;NA;1;18;2011;"Feb,May,Aug,Nov";NA;"RP"
"189";189;"d";"a";5760;7;2014;0;NA;NA;"";Jul 2014;"RP"
"190";190;"a";"a";1470;12;2006;1;40;2014;"Jan,Apr,Jul,Oct";Dec 2006;"BY"
"191";191;"a";"a";1100;8;2013;1;40;2014;"Jan,Apr,Jul,Oct";Aug 2013;"BY"
"192";192;"d";"c";2770;3;2008;1;40;2014;"Jan,Apr,Jul,Oct";Mar 2008;"BY"
"193";193;"a";"a";520;NA;NA;0;NA;NA;"";NA;"BW"
"194";194;"d";"c";16970;NA;NA;1;5;2013;"Feb,May,Aug,Nov";NA;"BW"
"195";195;"a";"c";220;NA;NA;0;NA;NA;"";NA;"NW"
"196";196;"c";"a";3850;11;2005;1;14;2011;"Jan,Apr,Jul,Oct";Nov 2005;"TH"
"197";197;"c";"a";4210;NA;NA;0;NA;NA;"";NA;"HH"
"198";198;"a";"a";290;9;2002;1;13;2010;"Jan,Apr,Jul,Oct";Sep 2002;"TH"
"199";199;"d";"c";6360;12;2010;1;14;2012;"Mar,Jun,Sept,Dec";Dec 2010;"RP"
"200";200;"a";"a";1650;10;2000;0;NA;NA;"";Oct 2000;"NW"
"201";201;"d";"a";20260;NA;NA;1;18;2014;"Mar,Jun,Sept,Dec";NA;"NW"
"202";202;"d";"c";5140;5;2010;0;NA;NA;"";May 2010;"HE"
"203";203;"c";"c";490;11;2002;0;NA;NA;"";Nov 2002;"ST"
"204";204;"a";"a";5630;12;2002;1;40;2014;"Jan,Apr,Jul,Oct";Dec 2002;"BY"
"205";205;"a";"a";110;12;2007;0;NA;NA;"";Dec 2007;"HB, NI"
"206";206;"a";"c";380;NA;NA;1;14;2012;"Jan,Apr,Jul,Oct";NA;"NW"
"207";207;"a";"a";6870;NA;NA;0;NA;NA;"";NA;"SH"
"208";208;"c";"a";300;4;2006;0;NA;NA;"";Apr 2006;"HB, NI"
"209";209;"a";"c";11680;9;2011;1;31;2013;"Jan,Apr,Jul,Oct";Sep 2011;"SH"
"210";210;"d";"a";970;11;1999;1;5;2013;"Feb,May,Aug,Nov";Nov 1999;"RP"
"211";211;"a";"c";350;11;2006;0;NA;NA;"";Nov 2006;"HB, NI"
"212";212;"a";"c";15050;9;2008;0;NA;NA;"";Sep 2008;"SH"
"213";213;"d";"c";4030;3;2014;1;1;2014;"Jan,Apr,Jul,Oct";Mar 2014;"NW"
"214";214;"d";"a";8650;7;2013;1;10;2014;"Jan,Apr,Jul,Oct";Jul 2013;"NW"
"215";215;"d";"a";150;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"BY"
"216";216;"c";"a";190;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"NW"
"217";217;"c";"a";3150;NA;NA;0;NA;NA;"";NA;"HH"
"218";218;"a";"c";640;NA;NA;1;9;2011;"Mar,Jun,Sept,Dec";NA;"BY"
"219";219;"a";"a";1640;2;2013;0;NA;NA;"";Feb 2013;"NW"
"220";220;"a";"a";1000;9;2008;0;NA;NA;"";Sep 2008;"NW"
"221";221;"d";"c";13530;9;2013;0;NA;NA;"";Sep 2013;"SH"
"222";222;"a";"a";2170;11;2008;0;NA;NA;"";Nov 2008;"HB, NI"
"223";223;"d";"c";2920;10;1995;1;27;2011;"Jan,Apr,Jul,Oct";Oct 1995;"TH"
"224";224;"d";"c";7930;NA;NA;1;1;2013;"Jan,Apr,Jul,Oct";NA;"BW"
"225";225;"d";"a";10180;NA;NA;0;NA;NA;"";NA;"ST"
"226";226;"a";"a";450;NA;NA;0;NA;NA;"";NA;"HE"
"227";227;"a";"a";2370;NA;NA;0;NA;NA;"";NA;"NW"
"228";228;"d";"c";10800;NA;NA;1;18;2011;"Feb,May,Aug,Nov";NA;"NW"
"229";229;"d";"c";17410;4;2007;1;14;2011;"Jan,Apr,Jul,Oct";Apr 2007;"RP"
"230";230;"d";"c";6680;9;2013;0;NA;NA;"";Sep 2013;"SH"
"231";231;"d";"c";3840;10;2008;1;39;2010;"Feb,May,Aug,Nov";Oct 2008;"BY"
"232";232;"c";"c";13570;5;2010;1;10;2013;"Mar,Jun,Sept,Dec";May 2010;"ST"
"233";233;"a";"a";1890;NA;NA;0;NA;NA;"";NA;"HE"
"234";234;"d";"a";4370;NA;NA;0;NA;NA;"";NA;"NW"
"235";235;"a";"a";5710;3;2012;1;37;2009;"Jan,Apr,Jul,Oct";Mar 2012;"HE"
"236";236;"a";"a";1000;11;2007;0;NA;NA;"";Nov 2007;"HB, NI"
"237";237;"a";"a";1420;11;2007;0;NA;NA;"";Nov 2007;"HB, NI"
"238";238;"a";"a";320;NA;NA;1;45;2009;"Feb,May,Aug,Nov";NA;"NW"
"239";239;"d";"c";610;NA;NA;0;NA;NA;"";NA;"NW"
"240";240;"a";"a";1110;5;2009;0;NA;NA;"";May 2009;"HB, NI"
"241";241;"d";"c";780;NA;NA;0;NA;NA;"";NA;"NW"
"242";242;"d";"a";6880;9;2001;1;14;2011;"Jan,Apr,Jul,Oct";Sep 2001;"HE"
"243";243;"a";"a";310;NA;NA;1;5;2013;"Feb,May,Aug,Nov";NA;"BY"
"244";244;"d";"a";710;3;2012;1;1;2012;"Jan,Apr,Jul,Oct";Mar 2012;"NW"
"245";245;"a";"c";1310;NA;NA;0;NA;NA;"";NA;"HE"
"246";246;"c";"a";4660;4;2013;0;NA;NA;"";Apr 2013;"HH"
"247";247;"d";"c";70;11;2010;1;5;2013;"Feb,May,Aug,Nov";Nov 2010;"HE"
"248";248;"a";"c";340;9;2012;1;40;2012;"Jan,Apr,Jul,Oct";Sep 2012;"SH"
"249";249;"d";"c";18010;9;2014;0;NA;NA;"";Sep 2014;"SH"
"250";250;"d";"a";3520;NA;NA;1;18;2012;"Feb,May,Aug,Nov";NA;"HE"
"251";251;"a";"c";340;NA;NA;0;NA;NA;"";NA;"NW"
"252";252;"d";"c";22330;NA;NA;1;5;2010;"Feb,May,Aug,Nov";NA;"NW"
"253";253;"a";"c";250;NA;NA;1;5;2013;"Feb,May,Aug,Nov";NA;"NW"
"254";254;"d";"a";330;3;2008;1;1;2012;"Mar,Jun,Sept,Dec";Mar 2008;"RP"
"255";255;"c";"c";4630;3;2011;1;35;2011;"Feb,May,Aug,Nov";Mar 2011;"NW"
"256";256;"a";"c";80;9;2005;1;10;2014;"Mar,Jun,Sept,Dec";Sep 2005;"NW"
"257";257;"a";"a";420;12;2012;0;NA;NA;"";Dec 2012;"HB, NI"
"258";258;"a";"a";27190;7;2010;1;37;2009;"Jan,Apr,Jul,Oct";Jul 2010;"BY"
"259";259;"b";"b";210;NA;NA;0;NA;NA;"";NA;"HE"
"260";260;"a";"a";540;10;2011;0;NA;NA;"";Oct 2011;"HB, NI"
"261";261;"d";"c";15340;NA;NA;1;39;2009;"Jan,Apr,Jul,Oct";NA;"TH"
"262";262;"b";"a";1180;5;2013;0;NA;NA;"";May 2013;"HH"
"263";263;"a";"c";1140;5;2013;1;40;2014;"Jan,Apr,Jul,Oct";May 2013;"BY"
"264";264;"a";"a";180;3;2014;0;NA;NA;"";Mar 2014;"HB, NI"
"265";265;"a";"a";4580;NA;NA;1;14;2015;"Jan,Apr,Jul,Oct";NA;"RP"
"266";266;"a";"c";360;3;2014;1;9;2011;"Mar,Jun,Sept,Dec";Mar 2014;"SN"
"267";267;"c";"a";2460;1;2012;0;NA;NA;"";Jan 2012;"SH"
"268";268;"a";"a";4520;2;2014;0;NA;NA;"";Feb 2014;"BE"
"269";269;"a";"c";60;NA;NA;0;NA;NA;"";NA;"NW"
"270";270;"a";"a";1450;7;2014;0;NA;NA;"";Jul 2014;"HB, NI"
"271";271;"a";"a";420;NA;NA;1;14;2011;"Jan,Apr,Jul,Oct";NA;"SN"
"272";272;"a";"a";16180;7;2003;1;14;2011;"Jan,Apr,Jul,Oct";Jul 2003;"HE"
"273";273;"a";"c";8480;NA;NA;0;NA;NA;"";NA;"NW"
"274";274;"b";"b";3640;NA;NA;1;10;2013;"Jan,Apr,Jul,Oct";NA;"HE"
"275";275;"d";"a";300;5;2014;1;40;2014;"Jan,Apr,Jul,Oct";May 2014;"BY"
"276";276;"a";"a";2960;10;2014;1;36;2013;"Mar,Jun,Sept,Dec";Oct 2014;"SN"
"277";277;"d";"c";7840;NA;NA;1;31;2009;"Feb,May,Aug,Nov";NA;"BY"
"278";278;"a";"c";9260;2;2010;0;NA;NA;"";Feb 2010;"SH"
"279";279;"d";"c";2320;NA;NA;1;40;2012;"Jan,Apr,Jul,Oct";NA;"BY"
"280";280;"d";"c";18640;9;2013;1;10;2014;"Mar,Jun,Sept,Dec";Sep 2013;"BW"
"281";281;"d";"c";6970;9;2011;0;NA;NA;"";Sep 2011;"SH"
"282";282;"a";"a";1220;12;2010;0;NA;NA;"";Dec 2010;"HB, NI"
"283";283;"a";"a";2260;NA;NA;1;40;2014;"Jan,Apr,Jul,Oct";NA;"BY"
"284";284;"d";"a";1290;NA;NA;1;40;2014;"Jan,Apr,Jul,Oct";NA;"BY"
"285";285;"a";"a";2410;NA;NA;0;NA;NA;"";NA;"HE"
"286";286;"a";"a";1460;NA;NA;0;NA;NA;"";NA;"TH"
"287";287;"c";"a";2740;5;2009;1;40;2014;"Jan,Apr,Jul,Oct";May 2009;"BY"
"288";288;"d";"a";800;NA;NA;1;14;2011;"Mar,Jun,Sept,Dec";NA;"BY"
"289";289;"d";"a";6540;12;2007;0;NA;NA;"";Dec 2007;"HE"
"290";290;"a";"a";4150;5;2001;0;NA;NA;"";May 2001;"NW"
"291";291;"d";"a";NA;NA;NA;0;NA;NA;"";NA;"SN"
"292";292;"a";"a";1100;6;2009;0;NA;NA;"";Jun 2009;"HB, NI"
"293";293;"c";"c";140;11;2007;0;NA;NA;"";Nov 2007;"HB, NI"
"294";294;"a";"a";3150;5;2005;0;NA;NA;"";May 2005;"HE"
